age,height,gender
48.2486907273,161.116010103,female
43.7764871727,160.437072575,female
43.9436564955,161.277734626,female
42.8540627557,159.994006571,female
46.7308152586,160.041904389,female
40.3969226062,176.11423493,female
48.4896235284,161.182731906,female
43.4775861982,175.859100061,male
45.6380781921,160.698862897,female
44.501259249,162.241961964,female
47.9242158741,162.047048051,female
40.879718581,176.335593366,female
44.355165592,175.542992721,male
44.2318912907,161.566345679,female
47.2675388847,176.501147262,male
42.8002174654,161.279842086,female
44.6551435849,176.607926727,male
43.2442831642,161.29744958,female
45.0844274934,160.484219487,female
46.1656304274,161.635241531,female
42.7987616456,160.069998734,female
47.2894474197,176.234649276,male
46.8031814412,176.205171928,male
46.0049886778,161.615077471,female
46.8017118985,176.874230163,male
43.6325442817,162.14301677,female
44.754219549,160.540693981,female
43.1284611315,160.666507786,female
44.4642238407,175.422354478,male
46.0607109335,162.694225862,female
43.6166784965,157.966698176,female
44.2064929463,161.178512969,male
43.6256545998,175.880762866,female
43.309588717,162.79837682,female
43.6575077383,176.372440833,male
44.9746708022,175.969771315,male
42.7653793027,161.065395285,female
45.4688313956,176.126253979,male
48.3196043542,175.860262911,male
46.4840883212,175.798213655,male
44.6163288953,176.195407259,female
43.2247420718,176.350467568,male
43.5056834125,175.916442307,male
48.3849092021,175.698240824,male
45.1016155096,161.345142103,female
43.7260087069,176.354056466,male
45.3818309693,175.441401466,male
49.200510273,176.452651755,male
45.240317905,176.064014828,male
46.2344062194,176.120068128,male
