foo,bar
zip,zap
bar,zap
race-latino-percent,age-62-and-older-percent
race-latino-percent,density
race-latino-percent,below-poverty-percent
race-latino-percent,median-income
race-latino-percent,race-black-percent
race-latino-percent,race-latino-percent
race-latino-percent,covid-positive-percent
covid-positive-percent,no-health-insurance-percent
covid-positive-percent,age-62-and-older-percent
covid-positive-percent,density
covid-positive-percent,below-poverty-percent
covid-positive-percent,median-income
covid-positive-percent,race-black-percent
covid-positive-percent,race-latino-percent
covid-positive-percent,covid-positive-percent
