Purpose,Perigee_km,Apogee_km,Period_minutes,Type_of_Orbit
Technology Development,770.0,787.0,100.42,
Communications,35777.0,35794.0,1436.08,
Communications,35785.0,35789.0,1436.13,
Communications,35780.0,35793.0,1436.1,
Communications,35780.0,35791.0,1436.06,
Solar Physics,670.0,710.0,98.6,Sun-Synchronous
Electronic Surveillance,35560.0,36013.0,1436.14,
Electronic Surveillance,35589.0,35984.0,1436.1,
Electronic Surveillance,35714.0,35937.0,1438.8,
Electronic Surveillance,35500.0,35500.0,,
Electronic Surveillance,35771.0,35805.0,23.94,
Communications,35872.0,36103.0,1446.36,
Communications,35700.0,35700.0,1306.29,
Communications,35700.0,35700.0,1306.29,
Technology Development,480.0,790.0,97.4,
Technology Development,495.0,791.0,97.5,
Technology Development,499.0,792.0,97.6,
Technology Development,443.0,886.0,98.0,
Technology Development,443.0,886.0,98.0,
Communications,35764.0,35808.0,1436.08,
Communications,35784.0,35787.0,1436.06,
Communications,35770.0,35802.0,1436.09,
Communications,35769.0,35802.0,1436.07,
Scientific Research,510.0,534.0,95.1,
Earth Science,570.0,583.0,96.2,
Maritime Tracking/Technology Development,615.0,632.0,97.2,Sun-Synchronous
Technology Development,599.0,626.0,96.9,
Technology Development,558.0,582.0,96.06,
Space Physics,264.0,5732.0,150.4,
Technology Development,443.0,886.0,98.0,
Communications/Technology Development,35786.0,35787.0,1436.09,
Earth Observation,672.0,674.0,98.2,Sun-Synchronous
Communications,35776.0,35797.0,1436.1,
Communications,35767.0,35805.0,1436.08,
Communications,35781.0,35791.0,1436.05,
Communications,35772.0,35800.0,1436.1,
Communications,35775.0,35797.0,1436.09,
Communications,35774.0,35797.0,1436.07,
Communications,35777.0,35795.0,1436.08,
Communications,35780.0,35793.0,1436.1,
Communications,35773.0,35800.0,1436.1,
Communications,35774.0,35798.0,1436.1,
Communications,35778.0,35793.0,1436.1,
Communications,35777.0,35795.0,1436.08,
Communications,35781.0,35791.0,1436.1,
Communications,35777.0,35796.0,1436.1,
Communications,35778.0,35795.0,1436.12,
Communications,35773.0,35798.0,1436.08,
