clojure,emacs,intellij,vim,experienced,aspire_to_be_manager,income_larger_130k
True,False,True,True,True,Not sure,True
True,False,True,True,False,No,False
True,False,False,True,True,Not sure,False
True,False,False,False,False,Not sure,False
True,True,True,False,True,No,True
True,True,True,True,True,,True
True,True,True,True,True,,True
True,True,False,True,True,No,False
True,True,False,False,True,No,True
True,False,True,True,False,Not sure,False
True,False,True,False,False,,False
True,False,False,False,False,Not sure,False
True,False,True,True,True,No,False
True,True,True,False,True,No,True
True,False,True,False,True,Not sure,False
True,False,False,False,True,Yes,False
True,False,False,True,False,Not sure,False
True,False,False,True,False,Not sure,False
True,True,False,False,True,Not sure,True
True,False,False,False,False,Not sure,False
True,False,True,False,True,,True
True,True,True,False,True,Yes,False
True,False,False,True,True,No,True
True,True,True,True,True,,True
True,True,False,False,True,,True
True,False,True,False,True,Not sure,True
True,True,True,True,False,Not sure,True
True,False,True,False,False,No,False
True,False,False,False,False,Yes,True
True,False,False,False,True,No,True
True,False,True,True,True,No,True
True,True,False,False,True,Not sure,True
True,False,True,False,True,Not sure,True
True,True,False,False,True,No,True
True,True,False,False,True,Not sure,False
True,False,False,True,False,No,False
True,True,False,False,True,Yes,True
True,False,True,True,True,Not sure,False
True,False,True,False,False,Not sure,False
True,False,False,False,True,No,False
True,False,True,True,True,Not sure,False
True,False,False,False,True,,True
True,True,False,False,True,,False
True,True,True,True,True,Not sure,True
True,True,False,True,True,,False
True,False,False,True,False,Not sure,False
True,False,True,True,True,,True
True,False,True,True,True,No,True
True,True,False,False,True,Not sure,True
True,True,False,False,True,I am already a manager,True
True,False,True,False,True,No,True
True,True,False,False,True,,True
True,False,True,False,True,No,True
True,True,False,False,True,,False
True,False,True,False,True,No,True
True,False,True,False,False,Not sure,True
True,False,True,True,True,,True
True,True,False,True,True,No,True
True,True,False,True,True,Yes,False
True,True,False,False,True,Not sure,False
True,False,False,True,True,Yes,False
True,False,False,False,True,Yes,True
True,True,False,False,False,Not sure,True
True,False,True,True,False,Yes,False
True,False,True,False,True,Not sure,True
True,True,False,False,True,Not sure,True
True,False,True,True,True,No,True
True,True,True,False,True,,False
True,True,True,False,True,Not sure,True
True,False,False,False,False,Not sure,False
True,False,False,True,True,No,True
True,True,False,True,True,Not sure,False
True,True,False,False,True,No,False
True,True,False,False,False,Not sure,False
True,False,False,False,True,No,True
True,False,True,False,False,Yes,False
True,False,False,True,True,Yes,True
True,True,False,False,True,Yes,True
True,False,False,True,True,Not sure,True
True,True,False,True,False,Not sure,False
True,True,False,False,True,Not sure,False
True,False,True,False,True,Not sure,False
True,False,True,True,True,No,False
True,False,False,True,True,Not sure,True
True,True,True,True,False,Yes,False
True,True,False,False,True,I am already a manager,True
True,True,False,False,True,Not sure,True
True,False,False,True,True,No,False
True,True,True,False,False,No,True
True,False,False,True,True,Not sure,True
True,True,False,True,False,No,False
True,False,False,True,True,,True
True,True,False,False,False,Not sure,False
True,False,False,True,False,Yes,False
True,False,False,True,False,No,False
True,True,True,False,True,No,False
True,False,True,False,True,Not sure,False
True,True,True,True,False,Not sure,False
True,False,True,False,True,Not sure,True
True,False,True,False,True,No,False
True,False,True,True,True,Yes,False
True,False,False,True,True,No,False
True,False,False,False,True,No,False
True,False,True,True,True,No,True
True,True,False,False,False,No,False
True,False,True,False,False,Not sure,False
True,False,False,True,True,No,True
True,True,False,False,True,Not sure,False
True,False,False,True,True,Not sure,False
True,False,True,False,True,,True
True,True,False,True,True,Yes,True
True,False,False,True,False,Yes,False
True,True,True,True,True,,False
True,False,True,False,True,No,True
True,True,False,True,False,,True
True,False,True,True,True,Not sure,False
True,False,False,False,True,Not sure,False
True,True,False,True,True,Yes,True
True,False,False,True,True,Not sure,True
True,False,True,False,True,No,True
True,True,False,False,True,No,True
True,False,True,True,True,No,False
True,False,False,False,True,No,True
True,False,False,True,True,Not sure,False
True,False,False,True,False,Not sure,True
True,False,True,True,False,No,False
True,False,True,True,True,Not sure,False
True,True,True,False,True,Not sure,True
True,False,False,True,False,,False
True,False,False,True,False,No,False
True,False,False,True,True,No,True
True,True,False,False,True,No,False
True,False,True,True,True,No,True
True,False,True,True,False,Not sure,False
True,True,False,False,True,,True
True,False,False,False,True,Not sure,False
True,True,True,False,False,No,False
True,False,False,True,False,No,False
True,False,True,False,True,Not sure,False
True,True,False,True,True,No,False
True,True,False,False,True,Not sure,True
True,True,True,False,True,Not sure,True
True,True,False,False,True,Not sure,False
True,True,False,False,True,,True
True,True,False,True,True,No,True
True,True,False,False,True,Yes,True
True,True,False,True,False,Yes,True
True,False,True,True,True,Not sure,False
True,False,False,False,True,,False
True,False,False,False,True,No,False
True,False,True,True,True,Not sure,True
True,True,True,False,True,No,True
True,False,False,False,True,,True
True,True,False,True,False,Yes,True
True,True,False,False,True,No,True
True,False,False,True,True,No,True
True,False,False,False,True,,False
True,False,False,True,True,Not sure,True
True,True,False,False,True,Not sure,True
True,False,False,True,False,Not sure,False
True,True,False,True,True,Not sure,True
True,False,True,False,False,Yes,False
True,False,True,True,False,Yes,False
True,False,False,True,True,Yes,False
True,False,True,False,True,No,False
True,True,True,False,True,No,False
True,False,True,True,True,No,True
True,False,False,False,False,Not sure,False
True,True,False,True,False,Yes,False
True,False,True,True,False,No,False
True,True,False,False,True,No,True
True,True,False,True,False,No,False
True,True,False,False,False,Yes,False
True,False,False,False,True,Not sure,False
True,True,True,False,True,No,True
True,False,True,False,True,No,True
True,True,False,False,False,Yes,False
True,False,False,True,True,,True
True,True,False,False,True,,True
True,True,True,False,False,Not sure,False
True,False,True,True,False,Not sure,True
True,False,True,True,False,Yes,False
True,True,False,False,True,Not sure,True
True,False,True,True,False,No,False
True,True,False,False,True,,False
True,True,True,False,False,No,False
True,True,False,False,False,I am already a manager,True
True,True,True,False,True,Not sure,True
True,False,True,False,False,Yes,True
True,True,False,False,True,Not sure,True
True,True,False,False,False,Not sure,True
True,False,True,True,False,Not sure,False
True,True,True,True,True,No,False
True,False,True,False,False,Yes,False
True,False,True,False,False,Yes,True
True,True,False,True,False,No,False
True,False,False,False,True,Not sure,False
True,True,False,False,True,,True
True,True,False,False,True,Yes,True
True,False,True,False,True,,True
True,True,True,False,False,Not sure,False
True,False,False,True,True,No,True
True,True,False,False,False,Not sure,False
True,True,True,True,True,,False
True,True,False,False,False,Not sure,False
True,False,True,True,True,Not sure,False
True,False,True,True,True,Not sure,True
True,False,True,False,True,Yes,False
True,True,False,True,False,No,False
True,False,False,True,False,Not sure,False
True,False,False,True,True,Not sure,True
True,True,False,False,True,,True
True,False,True,True,False,Not sure,False
True,True,False,False,True,Yes,True
True,True,True,False,True,,True
True,True,True,True,False,Not sure,False
True,True,False,True,True,Not sure,True
True,False,True,True,True,Not sure,True
True,True,False,False,True,No,True
True,False,False,True,True,No,False
True,True,False,False,False,No,True
True,True,True,False,True,Not sure,True
True,False,False,False,True,No,False
True,True,True,True,False,Yes,False
True,True,False,True,False,No,False
True,False,False,True,True,No,True
True,True,False,False,True,No,True
True,False,True,True,True,Not sure,False
True,False,True,True,True,No,True
True,True,False,True,True,Not sure,True
True,False,False,True,True,No,True
True,False,True,False,True,No,False
True,True,False,False,False,Not sure,False
True,False,True,False,True,I am already a manager,False
True,True,False,False,True,No,False
True,False,False,False,False,No,False
True,False,True,True,True,Not sure,True
True,True,True,False,False,Yes,False
True,False,True,False,False,Not sure,True
True,False,False,True,False,Yes,True
True,True,True,True,True,No,True
True,False,True,True,True,No,True
True,False,True,True,False,Yes,True
True,False,False,False,False,Yes,False
True,False,False,True,True,No,True
True,True,True,False,True,No,True
True,True,False,False,False,No,True
True,False,False,True,False,Yes,True
True,False,False,True,False,No,False
True,False,False,True,False,No,False
True,False,True,True,True,No,True
True,True,False,True,True,No,False
True,False,False,False,True,Not sure,False
True,False,True,False,True,Not sure,True
True,True,False,False,True,,True
True,False,True,False,False,Not sure,False
True,False,True,True,True,No,True
True,True,False,False,False,I am already a manager,False
False,False,False,True,False,Not sure,False
False,False,False,False,True,,False
False,False,False,True,True,Not sure,False
False,False,False,False,True,Not sure,True
False,False,False,False,True,No,False
False,False,True,False,False,No,False
False,False,False,False,False,Not sure,False
False,False,False,True,True,No,False
False,False,False,False,False,Yes,True
False,False,False,False,False,Yes,False
False,False,False,False,True,No,True
False,False,False,True,True,No,True
False,False,False,True,True,Not sure,False
False,False,False,False,False,No,False
False,False,False,False,True,Yes,False
False,False,False,False,False,No,False
False,False,True,True,False,Not sure,True
False,False,False,False,True,No,False
False,False,False,False,True,No,True
False,False,False,False,True,Yes,True
False,False,False,True,True,Not sure,False
False,False,False,False,True,No,False
False,True,False,False,False,No,False
False,False,False,False,False,Yes,False
False,False,False,False,True,Not sure,False
False,False,False,True,False,No,False
False,False,False,True,True,Not sure,False
False,False,False,True,True,Not sure,True
False,False,False,False,True,Yes,False
False,False,False,False,True,No,False
False,False,False,False,True,No,True
False,False,True,False,True,No,False
False,True,False,False,True,No,True
False,False,True,True,False,No,False
False,False,False,True,False,No,False
False,False,True,True,False,No,True
False,False,False,True,False,Yes,True
False,False,True,False,True,Yes,True
False,False,False,True,True,Not sure,False
False,False,True,False,False,Not sure,False
False,False,False,True,True,Not sure,True
False,True,True,True,True,Not sure,False
False,False,False,False,False,I am already a manager,False
False,False,True,False,False,No,False
False,True,True,True,True,No,False
False,False,False,False,True,I am already a manager,False
False,False,False,False,True,Yes,True
False,False,False,False,False,No,True
False,False,True,False,True,,True
False,True,False,True,True,No,True
False,False,True,False,True,Yes,True
False,False,False,False,True,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,False,Yes,False
False,False,False,False,True,No,False
False,False,True,False,False,Not sure,False
False,False,True,False,True,No,False
False,False,False,False,True,Not sure,True
False,False,False,False,True,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,No,True
False,False,False,True,False,No,False
False,False,False,False,True,Yes,False
False,False,False,True,True,Not sure,False
False,False,False,False,True,,False
False,False,False,False,False,,False
False,False,False,True,True,,True
False,False,False,True,True,Not sure,False
False,False,False,False,False,Yes,False
False,True,True,True,True,Not sure,False
False,False,False,False,False,Yes,False
False,False,False,False,True,No,False
False,False,False,True,False,Not sure,False
False,False,False,False,False,Yes,False
False,False,False,True,False,Not sure,False
False,False,False,False,True,I am already a manager,False
False,False,False,False,True,Yes,False
False,False,False,False,True,No,True
False,False,False,False,True,No,False
False,True,False,False,True,No,True
False,False,True,True,True,Not sure,True
False,False,False,False,True,,True
False,False,False,False,False,Not sure,False
False,False,False,True,True,Not sure,False
False,False,False,True,False,,False
False,False,False,False,False,Yes,False
False,False,False,False,False,No,False
False,False,False,True,True,Yes,False
False,False,False,True,False,Not sure,False
False,False,False,False,True,Yes,False
False,False,False,True,True,No,False
False,False,False,False,False,No,False
False,False,False,False,True,,False
False,False,False,False,True,No,True
False,False,True,True,True,Not sure,True
False,False,False,False,False,No,True
False,False,False,False,False,Not sure,False
False,False,False,True,True,Not sure,True
False,False,False,False,False,No,True
False,False,False,False,True,Yes,False
False,False,True,False,False,Not sure,False
False,True,False,False,True,I am already a manager,True
False,False,False,False,True,Yes,False
False,False,False,False,True,No,False
False,False,False,False,False,No,False
False,False,False,True,True,I am already a manager,True
False,False,False,False,True,Not sure,True
False,False,False,False,False,Yes,False
False,False,False,True,False,No,False
False,False,False,False,True,No,False
False,False,False,True,False,Yes,False
False,False,False,True,True,,True
False,False,False,False,True,Not sure,True
False,False,False,False,False,Yes,False
False,False,False,True,True,No,False
False,False,False,False,False,Yes,False
False,False,True,False,False,Not sure,False
False,False,False,True,True,Yes,False
False,False,True,True,True,Not sure,True
False,False,True,True,True,Not sure,False
False,False,False,False,False,Yes,False
False,False,False,True,False,No,True
False,False,True,True,True,No,True
False,False,True,True,False,Not sure,True
False,False,False,False,False,Not sure,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,Yes,True
False,False,True,True,True,No,True
False,False,False,True,True,Yes,False
False,False,False,True,False,No,False
False,False,True,False,True,Not sure,False
False,False,False,True,False,Yes,False
False,False,False,False,False,Not sure,False
False,False,False,False,False,No,False
False,False,False,True,True,,False
False,False,False,False,True,Not sure,False
False,False,True,False,True,,False
False,False,False,False,True,I am already a manager,False
False,False,False,True,True,Yes,False
False,False,True,True,False,Yes,False
False,False,False,False,True,,False
False,False,True,True,False,No,False
False,False,False,False,False,Yes,False
False,False,False,True,False,No,False
False,False,True,True,False,Not sure,False
False,False,False,False,True,Not sure,True
False,False,False,True,True,Not sure,True
False,False,False,True,True,Not sure,False
False,False,False,False,False,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,No,False
False,False,False,True,False,Not sure,True
False,False,True,False,False,Yes,False
False,False,False,False,True,Not sure,True
False,False,False,False,True,Not sure,True
False,False,False,True,True,No,False
False,False,False,False,True,Yes,True
False,False,False,False,True,Yes,False
False,False,True,True,True,No,False
False,False,False,False,True,I am already a manager,True
False,False,True,True,True,Not sure,False
False,False,False,False,True,No,False
False,False,True,False,True,No,False
False,False,False,True,False,No,False
False,False,True,True,True,Not sure,True
False,False,False,True,False,No,True
False,False,False,False,True,Not sure,False
False,False,False,False,False,I am already a manager,False
False,False,False,False,False,Yes,True
False,False,False,False,True,Yes,False
False,False,True,False,False,No,False
False,False,True,True,False,Not sure,False
False,False,False,False,False,Not sure,False
False,False,False,True,True,No,True
False,False,True,False,True,No,False
False,False,False,False,False,Not sure,False
False,False,True,False,True,Yes,False
False,False,False,False,True,Not sure,True
False,False,True,False,False,Not sure,False
False,False,True,True,True,,True
False,False,True,False,True,No,True
False,False,True,False,False,Not sure,False
False,False,False,False,True,No,False
False,False,True,False,True,Yes,True
False,False,False,False,False,Yes,False
False,False,False,True,True,No,True
False,False,False,True,True,No,True
False,False,False,True,True,Not sure,False
False,False,False,False,False,No,False
False,False,True,False,False,Not sure,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,No,False
False,False,False,False,True,Not sure,False
False,False,False,False,True,Yes,False
False,True,True,False,False,No,False
False,False,True,False,False,Not sure,True
False,False,False,False,False,No,False
False,False,False,False,True,No,False
False,False,True,False,True,Yes,False
False,False,False,False,False,I am already a manager,False
False,False,True,False,True,,False
False,False,False,False,False,Not sure,False
False,False,False,False,False,No,False
False,False,False,True,False,Not sure,False
False,False,False,False,False,No,False
False,False,False,True,True,No,False
False,False,False,False,False,No,False
False,False,True,True,True,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,,True
False,False,True,False,True,,True
False,False,True,True,False,No,False
False,False,False,True,False,Yes,False
False,False,False,False,True,,True
False,False,False,False,True,No,False
False,False,True,False,False,Not sure,True
False,False,True,True,True,Not sure,True
False,False,False,False,False,Not sure,False
False,False,True,False,False,,False
False,False,False,True,False,Not sure,False
False,False,False,False,True,Not sure,True
False,False,False,False,False,Not sure,False
False,False,False,False,True,No,False
False,False,False,False,False,Not sure,False
False,False,False,True,False,Not sure,False
False,False,False,True,True,Not sure,True
False,False,False,False,True,Yes,True
False,False,False,False,False,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,False,Not sure,False
False,False,True,False,False,Yes,False
False,False,False,False,True,Not sure,False
False,False,True,False,True,,True
False,False,True,False,False,,True
False,False,False,False,True,Not sure,True
False,False,True,True,False,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,Not sure,False
False,False,False,False,True,Not sure,False
False,False,False,False,True,,True
False,False,False,False,False,No,False
False,False,False,False,False,Yes,False
False,False,True,False,True,Not sure,False
False,False,True,False,False,No,False
False,False,False,False,False,Not sure,False
False,False,False,False,True,No,True
False,False,False,False,True,,False
False,False,False,False,True,No,False
False,False,False,False,True,,True
False,False,False,False,True,Yes,True
False,False,False,True,False,Not sure,False
False,False,False,True,False,Not sure,False
False,False,False,False,True,Not sure,True
False,False,False,False,True,Not sure,False
False,False,False,False,False,Not sure,False
False,True,False,False,True,I am already a manager,False
False,False,False,False,False,Yes,False
False,False,True,True,False,Yes,False
